"","GEOID","X","Y"
"1",1,-43.5634276143517,-23.0751311693106
"2",2,-43.1974575377788,-23.0713790012682
"3",3,-43.1925784739604,-23.0713232507402
"4",4,-43.5659091275983,-23.0712430108957
"5",5,-43.5610291763278,-23.0711986383131
"6",6,-43.5561492371517,-23.0711541151074
"7",7,-43.1950701793703,-23.0674415318658
"8",8,-43.5635106775004,-23.0673105155491
"9",9,-43.558630873222,-23.0672660760391
"10",10,-43.5537510810569,-23.0672214859352
"11",11,-43.1438959745582,-23.0629384629978
"12",12,-43.5659920317015,-23.0634223447615
"13",13,-43.5611123623018,-23.0633779889187
"14",14,-43.5562327049933,-23.0633334825097
"15",15,-43.5513530598172,-23.0632888255359
"16",16,-43.5123163400849,-23.0629261495976
"17",17,-43.5684732389719,-23.0595341259725
"18",18,-43.5587141819613,-23.0594454310258
"19",19,-43.5538346716009,-23.059400857746
"20",20,-43.5489551733917,-23.0593561339306
"21",21,-43.5758337110581,-23.0556898972855
"22",22,-43.5709542993527,-23.0556458592041
"23",23,-43.5611955120018,-23.0555573315054
"24",24,-43.5563161364381,-23.0555128418912
"25",25,-43.5514367730037,-23.0554682017689
"26",26,-43.5465574217393,-23.0554234111402
"27",27,-43.541678082686,-23.0553784700067
"28",28,-43.5367987558847,-23.0553333783697
"29",29,-43.6661434758919,-23.0525669459133
"30",30,-43.6612639903146,-23.0525257003635
"31",31,-43.5929523918271,-23.0519324596639
"32",32,-43.5880730792584,-23.0518889566
"33",33,-43.5831937785511,-23.0518453030468
"34",34,-43.5783144897462,-23.0518014990058
"35",35,-43.5734352128848,-23.0517575444785
"36",36,-43.5636766951556,-23.0516691839709
"37",37,-43.5587974543699,-23.0516247779936
"38",38,-43.5539182256913,-23.051580221536
"39",39,-43.5490390091607,-23.0515355145996
"40",40,-43.5441598048192,-23.051490657186
"41",41,-43.5392806127076,-23.0514456492966
"42",42,-43.6637423268261,-23.0486358384758
"43",43,-43.6588629876945,-23.0485945254701
"44",44,-43.6539836598293,-23.0485530619825
"45",45,-43.6491043432712,-23.0485114480145
"46",46,-43.6442250380613,-23.0484696835675
"47",47,-43.6393457442405,-23.0484277686429
"48",48,-43.6344664618498,-23.0483857032422
"49",49,-43.62958719093,-23.0483434873666
"50",50,-43.6247079315223,-23.0483011210178
"51",51,-43.6198286836674,-23.0482586041972
"52",52,-43.6149494474063,-23.0482159369061
"53",53,-43.6100702227801,-23.048173119146
"54",54,-43.6051910098295,-23.0481301509185
"55",55,-43.6003118085956,-23.0480870322248
"56",56,-43.5954326191194,-23.0480437630667
"57",57,-43.5905534414416,-23.0480003434454
"58",58,-43.5856742756033,-23.0479567733624
"59",59,-43.5807951216455,-23.0479130528194
"60",60,-43.5710368495348,-23.0478251603587
"61",61,-43.5661577314639,-23.0477809884441
"62",62,-43.5612786254371,-23.0477366660754
"63",63,-43.5563995314954,-23.0476921932539
"64",64,-43.5515204496798,-23.0476475699814
"65",65,-43.5466413800311,-23.0476027962592
"66",66,-43.5417623225904,-23.0475578720889
"67",67,-43.5368832773985,-23.047512797472
"68",68,-43.5320042444964,-23.04746757241
"69",69,-43.527125223925,-23.0474221969045
"70",70,-43.5222462157252,-23.0473766709571
"71",71,-43.517367219938,-23.0473309945693
"72",72,-43.5124882366043,-23.0472851677425
"73",73,-43.6662205169124,-23.0447459291879
"74",74,-43.6613413129602,-23.0447046992087
"75",75,-43.6564621202524,-23.0446633187754
"76",76,-43.6515829388299,-23.0446217878894
"77",77,-43.6467037687336,-23.044580106552
"78",78,-43.6418246100044,-23.0445382747648
"79",79,-43.6369454626835,-23.044496292529
"80",80,-43.6320663268115,-23.0444541598462
"81",81,-43.6271872024296,-23.0444118767178
"82",82,-43.6223080895786,-23.0443694431452
"83",83,-43.6174289882995,-23.0443268591299
"84",84,-43.6125498986332,-23.0442841246733
"85",85,-43.6076708206206,-23.0442412397768
"86",86,-43.6027917543028,-23.044198204442
"87",87,-43.5979126997205,-23.0441550186703
"88",88,-43.5930336569148,-23.0441116824631
"89",89,-43.5881546259266,-23.0440681958219
"90",90,-43.5832756067969,-23.0440245587483
"91",91,-43.5783965995665,-23.0439807712436
"92",92,-43.5735176042763,-23.0439368333094
"93",93,-43.5686386209674,-23.0438927449472
"94",94,-43.5637596496807,-23.0438485061585
"95",95,-43.5588806904571,-23.0438041169448
"96",96,-43.5540017433374,-23.0437595773075
"97",97,-43.5491228083628,-23.0437148872483
"98",98,-43.5442438855739,-23.0436700467685
"99",99,-43.5393649750119,-23.0436250558699
"100",100,-43.5344860767177,-23.0435799145538
"101",101,-43.5296071907321,-23.0435346228218
"102",102,-43.5247283170961,-23.0434891806754
"103",103,-43.5198494558506,-23.0434435881163
"104",104,-43.5149706070365,-23.0433978451459
"105",105,-43.5100917706948,-23.0433519517658
"106",106,-43.2076299807159,-23.0402128803351
"107",107,-43.6638194918226,-23.0408148255406
"108",108,-43.6589404342532,-23.0407735281331
"109",109,-43.6540613879472,-23.0407320803005
"110",110,-43.6491823529455,-23.0406904820443
"111",111,-43.6443033292891,-23.0406487333659
"112",112,-43.6394243170188,-23.0406068342667
"113",113,-43.6345453161757,-23.0405647847482
"114",114,-43.6296663268006,-23.0405225848117
"115",115,-43.6247873489345,-23.0404802344587
"116",116,-43.6199083826184,-23.0404377336906
"117",117,-43.615029427893,-23.040395082509
"118",118,-43.6101504847995,-23.0403522809151
"119",119,-43.6052715533787,-23.0403093289106
"120",120,-43.595513725719,-23.0402229736753
"121",121,-43.5906348295619,-23.0401795704474
"122",122,-43.5857559452413,-23.0401360168147
"123",123,-43.575998212273,-23.0400484583407
"124",124,-43.5711193637073,-23.0400044535024
"125",125,-43.5662405271417,-23.0399602982652
"126",126,-43.5613617026171,-23.0399159926306
"127",127,-43.5564828901746,-23.0398715366002
"128",128,-43.551604089855,-23.0398269301754
"129",129,-43.5467253016992,-23.0397821733578
"130",130,-43.5418465257482,-23.0397372661488
"131",131,-43.536967762043,-23.0396922085501
"132",132,-43.5320890106243,-23.0396470005631
"133",133,-43.5272102715332,-23.0396016421894
"134",134,-43.5223315448105,-23.0395561334305
"135",135,-43.5174528304972,-23.0395104742879
"136",136,-43.5125741286342,-23.0394646647633
"137",137,-43.5076954392625,-23.0394187048582
"138",138,-43.5028167624229,-23.0393725945741
"139",139,-43.6419030248968,-23.0367173284773
"140",140,-43.6370241590635,-23.0366753620945
"141",141,-43.6321453046762,-23.0366332453214
"142",142,-43.6272664617761,-23.0365909781595
"143",143,-43.6223876304039,-23.0365485606103
"144",144,-43.6175088106006,-23.0365059926751
"145",145,-43.6126300024071,-23.0364632743554
"146",146,-43.6077512058644,-23.0364204056526
"147",147,-43.6028724210134,-23.0363773865683
"148",148,-43.5979936478949,-23.0363342171039
"149",149,-43.59311488655,-23.0362908972608
"150",150,-43.5833573993445,-23.0362038064446
"151",151,-43.5784786735658,-23.0361600354744
"152",152,-43.5735999597242,-23.0361161141315
"153",153,-43.5687212578609,-23.0360720424174
"154",154,-43.5638425680165,-23.0360278203336
"155",155,-43.5589638902322,-23.0359834478815
"156",156,-43.5540852245488,-23.0359389250627
"157",157,-43.5492065710071,-23.0358942518786
"158",158,-43.5443279296483,-23.0358494283309
"159",159,-43.5394493005131,-23.0358044544211
"160",160,-43.5345706836425,-23.0357593301506
"161",161,-43.5296920790774,-23.035714055521
"162",162,-43.5248134868587,-23.0356686305338
"163",163,-43.5199349070273,-23.0356230551906
"164",164,-43.5150563396242,-23.035577329493
"165",165,-43.5101777846902,-23.0355314534424
"166",166,-43.5052992422663,-23.0354854270405
"167",167,-43.5004207123934,-23.0354392502889
"168",168,-43.4955421951124,-23.035392923189
"169",169,-43.4711497990178,-23.0351590325215
"170",170,-43.3004122988317,-23.0334165723116
"171",171,-43.6151093734844,-23.0325742201197
"172",172,-43.6102307118008,-23.0325314346902
"173",173,-43.6053520617869,-23.0324884989069
"174",174,-43.6004734234837,-23.0324454127711
"175",175,-43.5907161821729,-23.0323587894481
"176",176,-43.5858375792471,-23.0323152522637
"177",177,-43.5809589881956,-23.0322715647328
"178",178,-43.5760804090593,-23.0322277268569
"179",179,-43.5712018418792,-23.0321837386373
"180",180,-43.5663232866962,-23.0321396000757
"181",181,-43.5614447435511,-23.0320953111734
"182",182,-43.556566212485,-23.0320508719321
"183",183,-43.5516876935386,-23.0320062823532
"184",184,-43.546809186753,-23.0319615424383
"185",185,-43.541930692169,-23.0319166521888
"186",186,-43.5370522098276,-23.0318716116063
"187",187,-43.5321737397696,-23.0318264206924
"188",188,-43.527295282036,-23.0317810794485
"189",189,-43.5224168366677,-23.0317355878762
"190",190,-43.5175384037055,-23.031689945977
"191",191,-43.5126599831905,-23.0316441537526
"192",192,-43.5077815751635,-23.0315982112044
"193",193,-43.5029031796654,-23.031552118334
"194",194,-43.4980247967371,-23.031505875143
"195",195,-43.4931464264196,-23.031459481633
"196",196,-43.4882680687537,-23.0314129378055
"197",197,-43.4833897237804,-23.0313662436621
"198",198,-43.4785113915405,-23.0313193992045
"199",199,-43.473633072075,-23.0312724044341
"200",200,-43.4687547654247,-23.0312252593527
"201",201,-43.6029530525262,-23.028556560699
"202",202,-43.5931960807419,-23.0284701040592
"203",203,-43.5883176125464,-23.028426650258
"204",204,-43.5834391562033,-23.0283830461379
"205",205,-43.5785607117534,-23.0283392917004
"206",206,-43.5736822792377,-23.0282953869469
"207",207,-43.5688038586971,-23.028251331879
"208",208,-43.5639254501724,-23.0282071264981
"209",209,-43.5590470537046,-23.0281627708058
"210",210,-43.5541686693346,-23.0281182648036
"211",211,-43.5492902971033,-23.0280736084929
"212",212,-43.5444119370516,-23.0280288018754
"213",213,-43.5395335892205,-23.0279838449524
"214",214,-43.5346552536508,-23.0279387377256
"215",215,-43.5297769303834,-23.0278934801965
"216",216,-43.5248986194592,-23.0278480723666
"217",217,-43.5200203209193,-23.0278025142374
"218",218,-43.5151420348043,-23.0277568058106
