origin,destination,walk_distance,travel_time,boardings
1,1,76.0,56,0
1,2,1125.015225559385,878,0
1,3,582.8913909723973,858,1
1,4,715.4211278162857,1773,2
1,5,603.1809548813468,1835,1
2,1,1125.01898495776,878,0
2,2,58.0,42,0
2,3,793.6472105252119,1497,1
2,4,1429.4199624016605,1743,1
2,5,751.1535864650493,1792,1
3,1,525.2002556357983,793,1
3,2,1034.9197744325484,1383,1
3,3,124.0,92,0
3,4,762.5798796959606,2283,2
3,5,928.886571424423,2238,2
4,1,976.5460451057464,1778,1
4,2,1070.541255635798,1661,1
4,3,747.9878345853743,2326,2
4,4,50.0,36,0
4,5,1508.0531428520724,1167,0
5,1,423.8932030016718,1665,1
5,2,674.355962404887,1602,1
5,3,438.423,2052,2
5,4,1508.0546466114222,1168,0
5,5,26.0,18,0
